sample_id	ega_id	fastq	ega_file
S00RC9B2	EGAR00001299940	_EGAR00001299940_150205_SN935_0004_A_C69EVACXX_ACTGAT_5_read1.fastq.gz	EGAF00000768275
S00RD7B2	EGAR00001299951	_EGAR00001299951_150203_SN546_0269_B_C69G5ACXX_GCCAAT_7_read1.fastq.gz	EGAF00000769146
S00RMQB5	EGAR00001299945	_EGAR00001299945_150205_SN935_0004_A_C69EVACXX_TGACCA_2_read1.fastq.gz	EGAF00000768224
S00S2PB1	EGAR00001295268	_EGAR00001295268_150115_SN935_0003_B_C68W7ACXX_GTCCGC_7_read1.fastq.gz	EGAF00000764674
S00S4LB2	EGAR00001299953	_EGAR00001299953_150203_SN546_0269_B_C69G5ACXX_TGACCA_6_read1.fastq.gz	EGAF00000768229
S00S6HB2	EGAR00001295283	_EGAR00001295283_150113_SN546_0267_B_C68YMACXX_CTTGTA_8_read1.fastq.gz	EGAF00000764682
S00S7FB2	EGAR00001299934	_EGAR00001299934_150205_SN935_0004_A_C69EVACXX_ACTTGA_8_read1.fastq.gz	EGAF00000768217
S00SE1B1	EGAR00001299941	_EGAR00001299941_150205_SN935_0004_A_C69EVACXX_GTGAAA_4_read1.fastq.gz	EGAF00000768303
S00SHWB1	EGAR00001295270	_EGAR00001295270_150115_SN935_0003_B_C68W7ACXX_GTGAAA_6_read1.fastq.gz	EGAF00000764861
S00SJSB5	EGAR00001299935	_EGAR00001299935_150205_SN935_0004_A_C69EVACXX_TTAGGC_7_read1.fastq.gz	EGAF00000768218
S00SMMB1	EGAR00001295275	_EGAR00001295275_150115_SN935_0003_B_C68W7ACXX_GATCAG_4_read1.fastq.gz	EGAF00000764864
S00SPGB1	EGAR00001295269	_EGAR00001295269_150115_SN935_0003_B_C68W7ACXX_ACTGAT_7_read1.fastq.gz	EGAF00000764860
