sample_id	ega_id	fastq	ega_file
S00JD2B6	EGAR00001281536	_EGAR00001281536_141126_SN546_0261_B_C5T3MACXX_ACTTGA_6_read1.fastq.gz	EGAF00000709951
S00JT7B6	EGAR00001281532	_EGAR00001281532_141126_SN546_0261_B_C5T3MACXX_ACAGTG_8_read1.fastq.gz	EGAF00000709950
S00JU5B4	EGAR00001272579	_EGAR00001272579_141118_SN935_0217_B_C5VKNACXX_GGCTAC_7_read1.fastq.gz	EGAF00000697680
S00JV3B5	EGAR00001281535	_EGAR00001281535_141126_SN546_0261_B_C5T3MACXX_TGACCA_6_read1.fastq.gz	EGAF00000709908
S00JYYB6	EGAR00001272587	_EGAR00001272587_141118_SN935_0217_B_C5VKNACXX_GTCCGC_3_read1.fastq.gz	EGAF00000697688
S00K0OB6	EGAR00001281545	_EGAR00001281545_141126_SN546_0261_B_C5T3MACXX_GCCAAT_1_read1.fastq.gz	EGAF00000709952
S00K4GB1	EGAR00001272575	_EGAR00001272575_141120_SN546_0260_B_C5VTFACXX_GTCCGC_1_read1.fastq.gz	EGAF00000697676
S00KEXB1	EGAR00001281541	_EGAR00001281541_141126_SN546_0261_B_C5T3MACXX_GTCCGC_3_read1.fastq.gz	EGAF00000710481
S00KFVB1	EGAR00001272580	_EGAR00001272580_141118_SN935_0217_B_C5VKNACXX_CAGATC_7_read1.fastq.gz	EGAF00000697681
S00KHRB5	EGAR00001272578	_EGAR00001272578_141118_SN935_0217_B_C5VKNACXX_CGATGT_8_read1.fastq.gz	EGAF00000697679
S00KKLB5	EGAR00001272558	_EGAR00001272558_141127_SN106_0108_A_C5VN1ACXX_ACAGTG_2_read1.fastq.gz	EGAF00000697699
S00M0GB5	EGAR00001281543	_EGAR00001281543_141126_SN546_0261_B_C5T3MACXX_GTGAAA_2_read1.fastq.gz	EGAF00000710483
S00M1EB4	EGAR00001272582	_EGAR00001272582_141118_SN935_0217_B_C5VKNACXX_ACTTGA_6_read1.fastq.gz	EGAF00000697683
S00M2CB4	EGAR00001272589	_EGAR00001272589_141118_SN935_0217_B_C5VKNACXX_GTGAAA_2_read1.fastq.gz	EGAF00000697690
S00M48B5	EGAR00001272584	_EGAR00001272584_141118_SN935_0217_B_C5VKNACXX_GATCAG_5_read1.fastq.gz	EGAF00000697685
S00M80B5	EGAR00001272566	_EGAR00001272566_141120_SN546_0260_B_C5VTFACXX_GATCAG_6_read1.fastq.gz	EGAF00000697707
S00MBVB5	EGAR00001281546	_EGAR00001281546_141126_SN546_0261_B_C5T3MACXX_CTTGTA_1_read1.fastq.gz	EGAF00000710375
S00N52B4	EGAR00001272573	_EGAR00001272573_141120_SN546_0260_B_C5VTFACXX_GCCAAT_2_read1.fastq.gz	EGAF00000697674
S00N7ZB5	EGAR00001272571	_EGAR00001272571_141120_SN546_0260_B_C5VTFACXX_GTGAAA_3_read1.fastq.gz	EGAF00000697672
S00NBRB4	EGAR00001272561	_EGAR00001272561_141120_SN546_0260_B_C5VTFACXX_GGCTAC_8_read1.fastq.gz	EGAF00000697702
