sample_id	genotype_id	fq1	fq2	sex	biosample_id	population_code	population_name	superpopulation_code	superpopulation_name
ERR188323	HG00257	ERR188323_1.fastq.gz	ERR188323_2.fastq.gz	female	SAME123047	GBR	British	EUR	European
ERR188324	NA07347	ERR188324_1.fastq.gz	ERR188324_2.fastq.gz	male	SAME123572	CEU	CEPH	EUR	European
ERR188325	NA06984	ERR188325_1.fastq.gz	ERR188325_2.fastq.gz	male	SAME124763	CEU	CEPH	EUR	European
ERR188326	HG00275	ERR188326_1.fastq.gz	ERR188326_2.fastq.gz	female	SAME123421	FIN	Finnish	EUR	European
ERR188327	NA06985	ERR188327_1.fastq.gz	ERR188327_2.fastq.gz	female	SAME124762	CEU	CEPH	EUR	European
ERR188328	HG00109	ERR188328_1.fastq.gz	ERR188328_2.fastq.gz	male	SAME125160	GBR	British	EUR	European
ERR188329	NA20505	ERR188329_1.fastq.gz	ERR188329_2.fastq.gz	female	SAME124359	TSI	Tuscan	EUR	European
ERR188330	HG00379	ERR188330_1.fastq.gz	ERR188330_2.fastq.gz	female	SAME124746	FIN	Finnish	EUR	European
ERR188331	NA12155	ERR188331_1.fastq.gz	ERR188331_2.fastq.gz	male	SAME124955	CEU	CEPH	EUR	European
ERR188332	HG00158	ERR188332_1.fastq.gz	ERR188332_2.fastq.gz	female	SAME124585	GBR	British	EUR	European
ERR188333	HG00238	ERR188333_1.fastq.gz	ERR188333_2.fastq.gz	female	SAME124131	GBR	British	EUR	European
ERR188334	NA20543	ERR188334_1.fastq.gz	ERR188334_2.fastq.gz	male	SAME125149	TSI	Tuscan	EUR	European
ERR188335	NA20798	ERR188335_1.fastq.gz	ERR188335_2.fastq.gz	male	SAME123821	TSI	Tuscan	EUR	European
ERR188336	NA12004	ERR188336_1.fastq.gz	ERR188336_2.fastq.gz	female	SAME125144	CEU	CEPH	EUR	European
ERR188337	HG00127	ERR188337_1.fastq.gz	ERR188337_2.fastq.gz	female	SAME122871	GBR	British	EUR	European
ERR188338	HG00134	ERR188338_1.fastq.gz	ERR188338_2.fastq.gz	female	SAME123067	GBR	British	EUR	European
