biosample_id	sample_id	sample_name	sex	donor_id
SAMN10104251	SRR7463727	0899V030811_FLU	male	IGTB899
SAMN10104173	SRR7463728	0910V021711_FLU	female	IGTB910
SAMN10103920	SRR7463730	0917V031711_FLU	female	IGTB917
SAMN10104159	SRR7463731	0920V011911_FLU	male	IGTB920
SAMN10103986	SRR7463732	0930V062911_FLU	male	IGTB930
SAMN10104122	SRR7463733	0940V030211_FLU	male	IGTB940
SAMN10104370	SRR7463734	0945V051911_FLU	male	IGTB945
SAMN10103990	SRR7463735	0980V111611_FLU	female	IGTB980
SAMN10104313	SRR7463736	1008V101911_FLU	male	IGTB1008
SAMN10104393	SRR7463737	1011V091311_FLU	female	IGTB1011
SAMN10104277	SRR7463738	1021V071911_FLU	male	IGTB1021
SAMN10104311	SRR7463739	1037V090711_FLU	male	IGTB1037
SAMN10104108	SRR7463740	1046V082411_FLU	female	IGTB1046
SAMN10103956	SRR7463741	1057V100411_FLU	female	IGTB1057
SAMN10104451	SRR7463742	1088V060911_FLU	male	IGTB1088
SAMN10103936	SRR7463743	1105V111511_FLU	male	IGTB1105
SAMN10104116	SRR7463744	1111V031511_FLU	male	IGTB1111
SAMN10104339	SRR7463745	1112V110911_FLU	female	IGTB1112
SAMN10104033	SRR7463746	1114V042011_FLU	male	IGTB1114
SAMN10104197	SRR7463747	1123V030811_FLU	male	IGTB1123
SAMN10104244	SRR7463748	1130V011911_FLU	female	IGTB1130
SAMN10104263	SRR7463749	1131V102711_FLU	male	IGTB1131
SAMN10103965	SRR7463750	1133V021511_FLU	female	IGTB1133
SAMN10104017	SRR7463751	1135V072711_FLU	male	IGTB1135
SAMN10104425	SRR7463752	1136V081011_FLU	female	IGTB1136
SAMN10104226	SRR7463753	1138V031711_FLU	female	IGTB1138
SAMN10103991	SRR7463754	1140V033011_FLU	male	IGTB1140
SAMN10104385	SRR7463755	1145V051811_FLU	female	IGTB1145
SAMN10104161	SRR7463756	1148V090811_FLU	female	IGTB1148
SAMN10104252	SRR7463757	1156V061511_FLU	female	IGTB1156
SAMN10104469	SRR7463758	1162V040711_FLU	female	IGTB1162
SAMN10104301	SRR7463759	1164V120111_FLU	female	IGTB1164
SAMN10104150	SRR7463760	1165V041211_FLU	male	IGTB1165
SAMN10104071	SRR7463761	1166V041211_FLU	female	IGTB1166
SAMN10104314	SRR7463762	1168V062811_FLU	male	IGTB1168
SAMN10103939	SRR7463763	1170V042011_FLU	male	IGTB1170
SAMN10104072	SRR7463764	1192V051811_FLU	female	IGTB1192
